"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4408649426","linkedin","https://www.linkedin.com/jobs/view/4408649426","","Backend Engineer","METRO Global Solution Center IN","Pune Division, Maharashtra, India","2026-05-04","fulltime","","","","","",False,"mid-senior level","Information Technology","","","**About us:**




 Passion for food. Hunger for tech. We make METRO digital.
   

  





 Today technology is driving the world. And at METRO.digital we are driving the technology for one of the leading international wholesalers specializing in food \\- METRO. From e\\-commerce to checkout, to delivery software, we work on a wide range of products to make each day a success for our customers and colleagues. With passion and ownership, we build the future of wholesale.
   

  





 You are driving to create smart solutions for customers around the globe? You want to grow in a flexible environment? Let the right career opportunity find you and join us!
   

  

  

  




**Job Description**

**Your Responsibilities:** 
  

  




* Collaborate within a cross\\-functional product team and with other teams to solve customer problems by delivering high\\-quality product functionality and operational support.
* Participate in all phases of the software engineering lifecycle, including ideation, design, implementation, testing, deployment, and ongoing operation.
* Develop high\\-quality, maintainable code in accordance with established best practices and clean code principles.
* Proactively advocate for and contribute to improvements in product quality, security, reliability, and performance.
* Collaborate with engineers and other team members across multiple layers of the infrastructure to design, implement, and launch new features.
* Engage with stakeholders to understand, clarify, and help shape their requirements, providing technical guidance and recommendations where appropriate.



**Required Key Competencies and Qualifications**



* **Profound expertise in GitHub Actions and GitHub Workflows, as well as strong programming skills in TypeScript and Bash** 
 .
* Demonstrated passion for automating, scaling, and optimizing test and deployment processes, including hands\\-on experience with Docker and Kubernetes.
* Strong commitment to implementing state\\-of\\-the\\-art DevOps practices within CI/CD and deployment pipelines.
* Ability and willingness to consult and collaborate with cross\\-functional teams on software delivery pipelines, and to share best practices in modern software delivery.
* Enjoyment of solving complex technical and business challenges in a collaborative, high\\-performing team environment.
* Strong motivation for continuous learning and professional development, with a desire to contribute to meaningful improvements in digital products and platforms.
* Interest in data processing, analysis, and the calculation and interpretation of relevant metrics.
* Curiosity and enthusiasm for exploring, adopting, and applying new technologies and industry trends.
* Excellent communication skills in English, both written and verbal.



  

  

  

  




**Qualifications**

**Strongly Preferred**



* Hands\\-on experience with GitHub, including GitHub Workflows, Actions, Apps, and self\\-hosted runners.
* Solid practical knowledge of containerization and orchestration technologies, specifically Docker and Kubernetes.
* Experience working with Google Cloud Platform (GCP), with a focus on GKE, Cloud Run Functions, and BigQuery.
* Familiarity with GitHub Enterprise Cloud administration and management.
* Proficiency in Bash scripting and TypeScript.
* Experience creating, maintaining, and deploying Helm charts.



**Nice to Have**



* Experience designing and maintaining dashboards in Datadog.
* Knowledge of maintaining Jenkins shared libraries, including Groovy scripting.","Wholesale","https://in.linkedin.com/company/metro-services-private-limited","https://media.licdn.com/dms/image/v2/D4D0BAQH3s3K3yzDb5w/company-logo_100_100/B4DZfKK3aEHAAQ-/0/1751443535936/metro_services_private_limited_logo?e=2147483647&v=beta&t=hoz3L4y4oVneNym3V-FbzdOAmLighSU4C6gl4bsY2y0","","","","","","","","","","",""
"li-4375577310","linkedin","https://www.linkedin.com/jobs/view/4375577310","","Application Developer-AWS Cloud Fullstack","IBM","Pune Division, Maharashtra, India","2026-05-03","fulltime","","","","","",False,"mid-senior level","Engineering and Information Technology","","","**Introduction**
 A career in IBM Consulting is built on long\\-term client relationships and close collaboration worldwide. You’ll work with leading companies across industries, helping them shape their hybrid cloud and AI journeys. With support from our strategic partners, robust IBM technology, and Red Hat, you’ll have the tools to drive meaningful change and accelerate client impact. At IBM Consulting, curiosity fuels success. You’ll be encouraged to challenge the norm, explore new ideas, and create innovative solutions that deliver real results. Our culture of growth and empathy focuses on your long\\-term career development while valuing your unique skills and experiences.
   

  

**Your Role And Responsibilities**
 As an Application Developer: AWS Cloud FullStack, you will design and develop scalable, resilient, and cloud\\-native applications using modern technologies and methodologies. You will work in an Agile environment, delivering high\\-quality solutions through continuous release and improvement cycles. Your primary responsibilities will include:
   

  

* Develop Rich UI Applications: Design and develop rich user interface applications using Single Page Applications (SPA) or microfrontends, utilizing frameworks such as ReactJS or Angular.
* Develop Scalable Backend Microservices: Develop scalable and resilient backend microservices based on 12\\-factor principles, exposing functionality via API and event interfaces, using programming languages such as Java, NodeJS, or Python.
* Implement Cloud\\-Native CI/CD: Implement cloud\\-native Continuous Integration and Continuous Deployment (CI/CD) pipelines for change release, ensuring seamless delivery of applications and services.
* Manage AWS Services: Run and manage services on AWS, including PaaS, content delivery, routing services, databases, event\\-driven applications, and observability tools.
* Ensure DevSecOps Practices: Implement DevSecOps practices using AWS services such as CodeBuild, CodeDeploy, CodePipeline, and CodeCommit, ensuring secure and efficient application delivery.


**Preferred Education**
 Master's Degree
   

  

**Required Technical And Professional Expertise**
* Cloud\\-Native Application Development: Experience with designing and developing scalable, resilient, and cloud\\-native applications using modern technologies and methodologies, including microservices\\-based modular designs and API\\-driven microservices.
* Full Stack Development: Experience with developing rich UI applications using Single Page Applications (SPA) or microfrontends, and scalable backend microservices based on 12\\-factor principles, using frameworks such as ReactJS, Angular, Springboot, and programming languages such as Java, NodeJS, or Python.
* AWS Services Management: Experience with running and managing services on AWS, including PaaS, content delivery, routing services, databases, event\\-driven applications, and observability tools, such as EKS, ECS, Fargate, Lambda, CloudFront, API Gateway, and CloudWatch.
* Cloud\\-Native CI/CD: Experience with implementing cloud\\-native Continuous Integration and Continuous Deployment (CI/CD) pipelines for change release, using tools such as CodeBuild, CodeDeploy, CodePipeline, and CodeCommit.
* Event\\-Driven Architecture: Experience with developing event\\-driven applications using messaging and streaming services, such as Kafka, SQS, SNS, and Kinesis Streams.


**Preferred Technical And Professional Experience**
* Proficiency in Additional Frameworks: Exposure to Quarkus, Django, or Express Js frameworks for developing scalable and resilient backend microservices.
* Knowledge of No\\-SQL Modelling: Experience working with modern No\\-SQL modelling techniques for data model development.
* Familiarity with GraalVM: Exposure to GraalVM runtime for developing scalable and resilient backend microservices.","IT Services and IT Consulting","https://www.linkedin.com/company/ibm","https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=2147483647&v=beta&t=HPSmWLOCvdPkWO1nRWwjjmCNpaCqww20rSJ4E54QtxQ","","","","","","","","","","",""
"li-4349609621","linkedin","https://www.linkedin.com/jobs/view/4349609621","","Lead Software Engineer - Python","EPAM Systems","Pune Division, Maharashtra, India","2026-05-02","fulltime","","","","","",False,"mid-senior level","Information Technology, Engineering, and Business Development","","","We are seeking a highly experienced
 **Lead Software Engineer** 
 with expertise in Python to lead development efforts, influence technical direction, and deliver robust, scalable solutions.
 



 The ideal candidate will bring proven expertise in Python, database systems, and modern software development practices to drive the success of critical projects.
 



  
 



**Responsibilities** 



* Collaborate with stakeholders to gather requirements, create technical designs, and align solutions with business goals
* Lead the development of high\\-quality, scalable, and maintainable software systems
* Conduct technical reviews, including code reviews, to ensure adherence to best practices, coding standards, and performance benchmarks
* Coordinate with cross\\-functional teams to ensure successful implementation of features and solutions
* Troubleshoot and resolve complex technical challenges across the development lifecycle
* Mentor and guide team members, offering technical leadership and fostering skills development
* Drive the adoption of modern development processes and tools, including CI/CD practices through GitHub Actions
* Optimize application performance and database queries, ensuring efficiency and scalability
* Utilize Agile/Scrum methodologies to manage projects and deliver iterative improvements
* Oversee database architecture design and ensure proper integration with applications







**Requirements** 



* 7\\-12 years of experience in software development with demonstrated expertise in Python
* Proficiency in PostgreSQL and MS SQL Server for database design, optimization, and management
* Hands\\-on expertise with GitHub Actions for automation and CI/CD workflows
* Competency in ReactJS for developing interactive, dynamic user interfaces
* Solid understanding of Scrum/Agile methodologies for collaborative development and delivery







**Nice to have** 



* Familiarity with other front\\-end frameworks beyond ReactJS
* Skills in optimizing cross\\-platform application performance
* Understanding of advanced DevOps practices and tools","Software Development and IT Services and IT Consulting","https://www.linkedin.com/company/epam-systems","https://media.licdn.com/dms/image/v2/D4D0BAQGd7yeYsBtfzw/company-logo_100_100/B4DZuc0QBQH4AQ-/0/1767862501956/epam_systems_logo?e=2147483647&v=beta&t=O5sjtI74L0dCvWMsQqvR2y4087x4W5L5zpgJ1-bTACM","","","","","","","","","","",""
"li-4408311579","linkedin","https://www.linkedin.com/jobs/view/4408311579","","Senior Full Stack Developer","Aarushi Infotech","Pune Division, Maharashtra, India","2026-05-02","fulltime","","","","","",False,"mid-senior level","Engineering and Information Technology","","","**Job Summary**
 We are seeking a highly skilled Full Stack Developer capable of handling end\\-to\\-end development across frontend and backend systems.
   

  

**Key Responsibilities**
* Develop end\\-to\\-end applications with 6–8 years of full stack development experience
* Develop full\\-stack applications (frontend \\+ backend)
* Build REST APIs and UI components
* Work with Azure cloud services
* Ensure application performance, scalability, and security
* Participate in architecture and design decisions
* Mentor junior developers


**Must Have Skills**
**Backend**
* C\\#, .NET Core
* Web APIs, REST
* SQL
* Azure Managed Services (Functions, Blob Storage, Queues)


**Frontend**
* HTML5
* JavaScript
* ReactJS / AngularJS
* Modern CSS


**Nice to Have**
* Webpack
* Micro frontends
* Docker, Kubernetes
* Microservices


**Additional Requirements**
* Exposure to AI (Mandatory)
* Strong full\\-stack problem\\-solving skills


**Education**
* BE (Minimum Mandatory)


**Work Shift \\& Flexibility**
* General Shift
* Flexibility to extend working hours by 2–4 hours in the evening based on project needs


**Selection Process**
* Online Test
* L1 Interview
* L2 Interview


 Skills: sql (database design \\& queries),rest api development,html5 \\& modern css,microservices architecture,javascript (es6\\+),webpack / build tools,net core development,c\\#,docker / kubernetes,azure managed services (functions, blob, queues),ai exposure,frontend framework (reactjs / angular)","Information Technology & Services","https://in.linkedin.com/company/aarushi-infotech","https://media.licdn.com/dms/image/v2/C560BAQGPpe1ST1l9TQ/company-logo_100_100/company-logo_100_100/0/1630641170125/aarushi_infotech_logo?e=2147483647&v=beta&t=wIGgTpznko5mmiCteysJxdBRuH4xEZcA6VJ-DI6mDfE","","","","","","","","","","",""
"li-4375566497","linkedin","https://www.linkedin.com/jobs/view/4375566497","","Application Developer-AWS Cloud Fullstack","IBM","Pune Division, Maharashtra, India","2026-05-02","fulltime","","","","","",False,"mid-senior level","Engineering and Information Technology","","","**Introduction**
 A career in IBM Consulting is built on long\\-term client relationships and close collaboration worldwide. You’ll work with leading companies across industries, helping them shape their hybrid cloud and AI journeys. With support from our strategic partners, robust IBM technology, and Red Hat, you’ll have the tools to drive meaningful change and accelerate client impact. At IBM Consulting, curiosity fuels success. You’ll be encouraged to challenge the norm, explore new ideas, and create innovative solutions that deliver real results. Our culture of growth and empathy focuses on your long\\-term career development while valuing your unique skills and experiences.
   

  

**Your Role And Responsibilities**
 As an Application Developer: AWS Cloud FullStack, you will work in a modern cloud\\-native environment, building solutions around microservices, API\\-driven architectures, and continuous release cycles. You will collaborate with teams to deliver scalable and resilient applications using Agile methodologies. Your primary responsibilities will include:
   

  

* Develop Rich UI Applications: Design and implement rich user interface applications using Single Page Applications (SPA) or microfrontends, utilizing frameworks such as ReactJS or Angular.
* Build Scalable Backend Microservices: Develop scalable and resilient backend microservices based on 12\\-factor principles, exposing functionality via API and event interfaces, using programming languages such as Java, NodeJS, or Python.
* Implement Data Modeling: Design and implement data models using modern SQL and No\\-SQL modeling techniques, ensuring data consistency and integrity.
* Develop Event\\-Driven Applications: Build event\\-driven applications using Kafka, Zookeeper, and other hyperscaler cloud services, ensuring seamless communication between microservices.
* Manage AWS Services: Run and manage services on AWS, including PaaS, routing services, databases, event\\-driven services, observability, and DevSecOps tools, ensuring efficient and secure application deployment.


**Preferred Education**
 Master's Degree
   

  

**Required Technical And Professional Expertise**
* Cloud\\-Native Development Experience: Exposure to developing applications in a modern cloud\\-native environment, utilizing microservices, API\\-driven architectures, and continuous release cycles via Agile methodologies.
* Programming Language Proficiency: Experience with one or more programming languages, including Java, NodeJS, Python, or .Net, and proficiency in frameworks such as Springboot, Quarkus, Django, or Express Js.
* Data Modeling Knowledge: Experience with modern SQL and No\\-SQL modeling techniques, including data model design and implementation.
* Hyperscaler Cloud Services: Exposure to hyperscaler cloud services, including Kafka, Zookeeper, and AWS services such as EKS, ECS, Fargate, Lambda, and API Gateway.
* DevSecOps Tools: Experience with DevSecOps tools, including CodeBuild, CodeDeploy, CodePipeline, CodeCommit, and observability tools such as CloudWatch and X\\-Ray.


**Preferred Technical And Professional Experience**
* Proficiency in Additional Frameworks: Experience with frameworks such as Quarkus, Django, or Express Js, in addition to Springboot, is beneficial for building scalable and resilient backend microservices.
* Knowledge of Multiple Programming Languages: Exposure to multiple programming languages, including Java, NodeJS, Python, or .Net, can enhance development capabilities in a modern cloud\\-native environment.
* Familiarity with AWS Services: Experience with various AWS services, including CloudFront, Lambda@Edge, and AWS MSKafka, can be advantageous in managing and deploying applications on AWS.","IT Services and IT Consulting","https://www.linkedin.com/company/ibm","https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=2147483647&v=beta&t=HPSmWLOCvdPkWO1nRWwjjmCNpaCqww20rSJ4E54QtxQ","","","","","","","","","","",""
"li-4398856642","linkedin","https://www.linkedin.com/jobs/view/4398856642","","Data Engineer – GenAI + Python","Virtusa","Pune Division, Maharashtra, India","2026-05-01","fulltime","","","","","",False,"associate","Information Technology","","","Proficiency in Python programmming and Development, SQL, Spark, PySpark, TensorFlow or other analytical/model\\-building programming languages. Strong industry experience as a data scientist, specializing in ML Modeling, Ranking, Recommendations, or Personalization systems. Good experience designing and developing scalable and reliable machine learning systems for training, inference, monitoring, and iteration. Strong background of ML/DL/LLM algorithms, model architectures, and training techniques. Proficiency with tools and LLMs. Ability to work independently and collaboratively within a team.Preferred Skills: Python Development Experience Experience in GenAI/LLMs projects. Familiarity with distributed data/computing tools (e.g., Hadoop, Hive, Spark, MySQL). Background in financial business\\-like banking, risk management. Should be familiar with capital markets and financial instruments and modeling","IT Services and IT Consulting","https://www.linkedin.com/company/virtusa","https://media.licdn.com/dms/image/v2/D4D0BAQE1wyZ0gd_P_w/company-logo_100_100/B4DZmf03PuJMAY-/0/1759323061531/virtusa_logo?e=2147483647&v=beta&t=BX2oukfWW-ynMINuDRbCIlfgg5xRn0BoZf9Mk-TS1t4","","","","","","","","","","",""
"li-4406792461","linkedin","https://www.linkedin.com/jobs/view/4406792461","","Python Developer","Weekday (YC W21)","Pune Division, Maharashtra, India","2026-05-01","fulltime","","","","","",False,"not applicable","Engineering and Information Technology","","","**This role is for one of our clients**
 Company Name: TalentPundits
   

  

 Seniority level: Mid\\-Senior level
   

  

 Min Experience: 4 years
   

  

 Location: Pune
   

  

 JobType: full\\-time
   

  

 We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.
   

  

**Role Overview:**
 Looking for a Platform Engineer to design and build scalable, secure, and high\\-performance backend microservices for a next\\-gen fintech platform. You will work closely with DevOps, AI, data, and frontend teams to deliver robust APIs in a cloud\\-native environment.
   

  

**Key Responsibilities:**
 Design and develop backend services \\& REST APIs using Python, FastAPI
   

  

 Build scalable microservices architecture and event\\-driven systems (SQS, SNS, Kafka)
   

  

 Develop integrations with external/vendor platforms
   

  

 Manage data systems: PostgreSQL/MySQL, MongoDB, Redis, Neo4j
   

  

 Deploy using Docker, Kubernetes (EKS), GitLab CI/CD
   

  

 Ensure security, compliance, and API governance
   

  

 Implement monitoring using CloudWatch, Prometheus, Grafana, Datadog
   

  

 Optimize API performance for high\\-volume systems
   

  

 Collaborate across cross\\-functional product teams
   

  

**Core Skills:**
 Strong experience in Python, Fast API, microservices
   

  

 Hands\\-on with AWS (EKS, Lambda, SQS, SNS, RDS, S3\\)
   

  

 Expertise in Docker, Kubernetes, CI/CD pipelines
   

  

 Knowledge of async programming, API design, OAuth2, JWT
   

  

 Experience with RDBMS, NoSQL, caching systems
   

  

 Exposure to production\\-grade systems \\& performance tuning
   

  

 Experience in product development environments and Fintech / payment systems experience.
   

  

 Education:
   

  

 BE/BTech / ME/MTech in CS/IT (or equivalent)","Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching","https://www.linkedin.com/company/weekdayworks","https://media.licdn.com/dms/image/v2/C560BAQE7jsHudoGH6A/company-logo_100_100/company-logo_100_100/0/1630638631345?e=2147483647&v=beta&t=UT3giUWv95mHvoQjRLVDFh2amph_dpk8FDUrs3_uuvo","","","","","","","","","","",""
"li-4406789734","linkedin","https://www.linkedin.com/jobs/view/4406789734","","Platform Engineer (Python)","Weekday (YC W21)","Pune Division, Maharashtra, India","2026-05-01","fulltime","","","","","",False,"not applicable","Engineering and Information Technology","","","**This role is for one of our clients**
 Company Name: TalentPundits
   

  

 Seniority level: Mid\\-Senior level
   

  

 Min Experience: 4 years
   

  

 Location: Pune
   

  

 JobType: full\\-time
   

  

 We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.
   

  

**Role Overview:**
 Looking for a Platform Engineer to design and build scalable, secure, and high\\-performance backend microservices for a next\\-gen fintech platform. You will work closely with DevOps, AI, data, and frontend teams to deliver robust APIs in a cloud\\-native environment.
   

  

**Key Responsibilities:**
 Design and develop backend services \\& REST APIs using Python, FastAPI
   

  

 Build scalable microservices architecture and event\\-driven systems (SQS, SNS, Kafka)
   

  

 Develop integrations with external/vendor platforms
   

  

 Manage data systems: PostgreSQL/MySQL, MongoDB, Redis, Neo4j
   

  

 Deploy using Docker, Kubernetes (EKS), GitLab CI/CD
   

  

 Ensure security, compliance, and API governance
   

  

 Implement monitoring using CloudWatch, Prometheus, Grafana, Datadog
   

  

 Optimize API performance for high\\-volume systems
   

  

 Collaborate across cross\\-functional product teams
   

  

**Core Skills:**
 Strong experience in Python, Fast API, microservices
   

  

 Hands\\-on with AWS (EKS, Lambda, SQS, SNS, RDS, S3\\)
   

  

 Expertise in Docker, Kubernetes, CI/CD pipelines
   

  

 Knowledge of async programming, API design, OAuth2, JWT
   

  

 Experience with RDBMS, NoSQL, caching systems
   

  

 Exposure to production\\-grade systems \\& performance tuning
   

  

 Experience in product development environments and Fintech / payment systems experience.
   

  

 Education:
   

  

 BE/BTech / ME/MTech in CS/IT (or equivalent)","Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching","https://www.linkedin.com/company/weekdayworks","https://media.licdn.com/dms/image/v2/C560BAQE7jsHudoGH6A/company-logo_100_100/company-logo_100_100/0/1630638631345?e=2147483647&v=beta&t=UT3giUWv95mHvoQjRLVDFh2amph_dpk8FDUrs3_uuvo","","","","","","","","","","",""
"li-4407927704","linkedin","https://www.linkedin.com/jobs/view/4407927704","","Web Developer","GACS","Pune District, Maharashtra, India","2026-05-01","fulltime","","","","","",True,"mid-senior level","Information Technology","","","**Your Role** 



* Development and testing of new features and general codebase maintenance
* Creating/reviewing pull requests and implementing feedback
* Collaboration with other developers for implementing best practices, understanding data models, and integrating with APIs
* Collaboration with Product for understanding UX and implementing designs and prototypes
* Writing tests and assisting with QA Processes for feature rollout
* Assisting with project documentation and preparing notes about upcoming features



**About You** 



* A self\\-starter who can take ownership of a project and work independently and collaboratively
* Uses AI tools effectively to enhance productivity while maintaining critical thinking and code ownership
* Good attention to detail and initiative
* Strong communication skills in English, written and verbal



**Requirements** 



* 2–6 years of professional experience with React \\& TypeScript
* Strong grasp of HTML/CSS/JavaScript fundamentals
* Familiarity with standard engineering workflows (PRs, code review, agile)
* Ability to work 8 AM–2 PM ET (6:30 PM–12:30 AM IST) on weekdays
* Professional\\-level English fluency



**Benefits** 



* Competitive compensation \\- ₹13\\-16 LPA (depending on experience)
* Mentorship with regular peer review sessions
* Remote\\-first role, fully distributed team



**Expected Start Date** 




 ASAP","Advertising Services","https://in.linkedin.com/company/gacsin","https://media.licdn.com/dms/image/v2/D4E0BAQEweXdcZJpnFA/company-logo_100_100/B4EZufUmD5GcAQ-/0/1767904535203/gacsin_logo?e=2147483647&v=beta&t=AkCGzfP6KA48sgbMu3SMNQJqyjxsfZ5T-SZrrFFKa_s","","","","","","","","","","",""
"li-4407922651","linkedin","https://www.linkedin.com/jobs/view/4407922651","","Senior Associate, Full-Stack Engineer","hackajob","Pune Division, Maharashtra, India","2026-05-01","fulltime","","","","","",False,"mid-senior level","Engineering and Information Technology","","","***hackajob** 
 is collaborating with
 **BNY** 
 to connect them with exceptional professionals for this role.*
**Senior Associate, Full Stack Engineer**
 At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting\\-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide.
   

  

 Recognized as a top destination for innovators, BNY is where bold ideas meet advanced technology and exceptional talent. Together, we power the future of finance – and this is what is all about. Join us and be part of something extraordinary.
   

  

 We’re seeking a future team member for the role of
 **Senior Associate, Full Stack Engineer** 
 to join our Treasury risk engineering team. This role is located in Pune
   

  

 In this role, you’ll make an impact in the following ways:
   

  

* Build and optimize data solutions on Snowflake, including schemas, data models, SQL objects, and performance tuning.
* Develop Python components for data pipelines, orchestration, automation, and data quality checks.
* Design, develop, and maintain full\\-stack applications using Angular (front\\-end) and Java (backend services / APIs).
* Implement and consume RESTful APIs, ensuring secure authentication/authorization and reliable integrations.
* Translate requirements into technical design, estimates, and well\\-structured implementation plans.
* Write clean, maintainable, testable code; enforce coding standards and participate in peer reviews.
* Implement automated testing (unit/integration), CI/CD pipelines, and deployment best practices.
* Troubleshoot production issues, perform root cause analysis, and implement preventive fixes.
* Contribute to documentation: architecture, runbooks, onboarding guides, and operational procedures.
* Collaborate closely with cross\\-functional teams and mentor junior developers when needed.


 To be successful in this role, we’re seeking the following:
   

  

* Bachelor's degree in computer science engineering or a related discipline, or equivalent work experience required 3\\+ years of experience in software development required; experience in the securities or financial services industry is a plus.
* Minimum 3\\-5 years of experience as Python, Snowflake, Snowpark, Java developer.
* Strong experience with Snowflake:
* Snowflake SQL, data modeling, query optimization
* Understanding of compute/storage concepts, warehousing, and cost\\-aware design
* Strong proficiency in Python for backend scripting, ETL/ELT, data processing, and automation
* Solid understanding of RDBMS and SQL fundamentals; ability to design and tune queries
* Experience with source control (Git), code review, and agile delivery practices
* Strong problem\\-solving skills and ability to communicate technical concepts clearly
* Understanding docker\\-container concept, JVM, memory usage, performance testing.
* Solid understanding of multithreading concepts wit hands on experience.
* Experience implementing caching (using Hazelcast /others) will be plus.
* Strong experience in SDLC, DevOps processes – CI/CD tools, Git, etc.
* Should be capable to look into the production issue by checking code \\& Splunk logs


 At BNY, our culture speaks for itself, check out the latest BNY news at:
   

  

 BNY Newsroom
   

  

 BNY LinkedIn
   

  

**Here’s a Few Of Our Recent Awards**
* America’s Most Innovative Companies, Fortune, 2025
* World’s Most Admired Companies, Fortune 2025
* “Most Just Companies”, Just Capital and CNBC, 2025


**Our Benefits And Rewards**
 BNY offers highly competitive compensation, benefits, and wellbeing programs rooted in a strong culture of excellence and our pay\\-for\\-performance philosophy. We provide access to flexible global resources and tools for your life’s journey. Focus on your health, foster your personal resilience, and reach your financial goals as a valued member of our team, along with generous paid leaves, including paid volunteer time, that can support you and your family through moments that matter.
   

  

 BNY is an Equal Employment Opportunity/Affirmative Action Employer \\- Underrepresented racial and ethnic groups/Females/Individuals with Disabilities/Protected Veterans.","Software Development","https://uk.linkedin.com/company/hackajob","https://media.licdn.com/dms/image/v2/D4D0BAQG3u9MOOWLo4w/company-logo_100_100/B4DZxrAcyeJUAY-/0/1771321808742/hackajob_logo?e=2147483647&v=beta&t=Mlu0fay2n8aYfymHoXWtBrazca7WKPJd6dU7v3GFc-M","","","","","","","","","","",""
